,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
0,肖申克的救赎,https://movie.douban.com/subject/1292052/,9.7,2967848,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情
1,霸王别姬,https://movie.douban.com/subject/1291546/,9.6,2193047,导演: 陈凯歌 Kaige Chen,主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性
2,阿甘正传,https://movie.douban.com/subject/1292720/,9.5,2211914,导演: 罗伯特·泽米吉斯 Robert Zemeckis,主演: 汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情
3,泰坦尼克号,https://movie.douban.com/subject/1292722/,9.5,2247951,导演: 詹姆斯·卡梅隆 James Cameron,主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情 爱情 灾难
4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,2343395,导演: 吕克·贝松 Luc Besson,主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪
5,千与千寻,https://movie.douban.com/subject/1291561/,9.4,2295230,导演: 宫崎骏 Hayao Miyazaki,主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻
6,美丽人生,https://movie.douban.com/subject/1292063/,9.5,1355668,导演: 罗伯托·贝尼尼 Roberto Benigni,主演: 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争
7,星际穿越,https://movie.douban.com/subject/1889243/,9.4,1904597,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险
8,盗梦空间,https://movie.douban.com/subject/3541415/,9.4,2115055,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险
9,辛德勒的名单,https://movie.douban.com/subject/1295124/,9.5,1145096,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争
10,楚门的世界,https://movie.douban.com/subject/1292064/,9.4,1764876,导演: 彼得·威尔 Peter Weir,主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻
11,忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.4,1425168,导演: 莱塞·霍尔斯道姆 Lasse Hallström,主演: 理查·基尔 Richard Ger...,2009,美国 英国,剧情
12,海上钢琴师,https://movie.douban.com/subject/1292001/,9.3,1713479,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐
13,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2,1898743,导演: 拉库马·希拉尼 Rajkumar Hirani,主演: 阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞
14,放牛班的春天,https://movie.douban.com/subject/1291549/,9.3,1343133,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,主演: 让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐
15,机器人总动员,https://movie.douban.com/subject/2131459/,9.3,1346988,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险
16,疯狂动物城,https://movie.douban.com/subject/25662329/,9.2,1997448,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,主演: 金妮弗·...,2016,美国,喜剧 动画 冒险
